file_name,original_path,new_path,size_mb
yolov5su.pt,notebook/yolov5su.pt,notebook/models/checkpoints/ultralytics_yolov5/yolov5su.pt,18.6
yolov5xu.pt,notebook/yolov5xu.pt,notebook/models/checkpoints/ultralytics_yolov5/yolov5xu.pt,195.1
yolov8l-seg.pt,notebook/yolov8l-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolov8l-seg.pt,92.4
yolov8l.pt,notebook/yolov8l.pt,notebook/models/checkpoints/ultralytics_yolov8/yolov8l.pt,87.8
yolov8m-seg.pt,notebook/yolov8m-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolov8m-seg.pt,54.9
yolov8m.pt,notebook/yolov8m.pt,notebook/models/checkpoints/ultralytics_yolov8/yolov8m.pt,52.1
yolov8n-seg.pt,notebook/yolov8n-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolov8n-seg.pt,7.1
yolov8n.pt,notebook/yolov8n.pt,notebook/models/checkpoints/ultralytics_yolov8/yolov8n.pt,6.5
yolov8s-seg.pt,notebook/yolov8s-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolov8s-seg.pt,23.9
yolov8s.pt,notebook/yolov8s.pt,notebook/models/checkpoints/ultralytics_yolov8/yolov8s.pt,22.6
yolov8x-seg.pt,notebook/yolov8x-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolov8x-seg.pt,144.1
yolov8x.pt,notebook/yolov8x.pt,notebook/models/checkpoints/ultralytics_yolov8/yolov8x.pt,136.9
yolov9c.pt,notebook/yolov9c.pt,notebook/models/checkpoints/ultralytics_yolov9/yolov9c.pt,51.8
yolov9e.pt,notebook/yolov9e.pt,notebook/models/checkpoints/ultralytics_yolov9/yolov9e.pt,117.5
yolov9m.pt,notebook/yolov9m.pt,notebook/models/checkpoints/ultralytics_yolov9/yolov9m.pt,41.0
yolov9s.pt,notebook/yolov9s.pt,notebook/models/checkpoints/ultralytics_yolov9/yolov9s.pt,15.4
yolov9t.pt,notebook/yolov9t.pt,notebook/models/checkpoints/ultralytics_yolov9/yolov9t.pt,5.0
