model_id,family,task,engine,license_status,default_safe,install_extra,registry_status,execution_status,final_state,blocker_code,blocker_category,evidence_artifact,evidence_source,run_mode,should_be_called_in_notebook,called_in_notebook,notebook_call_count,notebook_paths,notebook_call_types,notebook_execution_status,notebook_evidence_artifacts,output_artifact_exists,current_run_id,stale_from_previous_run,missing_from_notebook_reason,exact_exception_type,attempted_command,sidecar_name,sidecar_python_version,sidecar_torch_version,cuda_required,cuda_observed,manual_fix_command,evidence_source_kind,called_in_current_notebook_run,current_run_call_count,current_run_artifact_exists,historical_artifact_used_as_fallback
libreyolo-dfine-s,libreyolo,detect,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,01_object_detection/reports/detection_leaderboard.json,notebook/01_object_detection/reports/detection_leaderboard.json,benchmark,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,benchmark|smoke,executed|executed_blocked,01_object_detection/reports/20260519T171956Z_libreyolo-dfine-s_current_run.json|01_object_detection/reports/detection_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
libreyolo-yolox-n,libreyolo,detect,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,01_object_detection/reports/detection_leaderboard.json,notebook/01_object_detection/reports/detection_leaderboard.json,benchmark,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,benchmark|smoke,executed|executed_blocked,01_object_detection/reports/20260519T171956Z_libreyolo-yolox-n_current_run.json|01_object_detection/reports/detection_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
libreyolo-yolox-s,libreyolo,detect,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,01_object_detection/reports/detection_leaderboard.json,notebook/01_object_detection/reports/detection_leaderboard.json,benchmark,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,benchmark|smoke,executed|executed_blocked,01_object_detection/reports/20260519T171956Z_libreyolo-yolox-s_current_run.json|01_object_detection/reports/detection_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
maskdino-r50-coco,maskdino,segment,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,02_automatic_segmentation/reports/20260519T171956Z_maskdino-r50-coco_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
maskdino-r50-panoptic,maskdino,segment,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,02_automatic_segmentation/reports/20260519T171956Z_maskdino-r50-panoptic_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
maskdino-swinl-coco,maskdino,segment,,Apache-2.0,False,,sidecar_required,sidecar_required,sidecar_required,SIDECAR_ENV_MISSING,unclassified,,registry,blocked,True,True,1,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,sidecar_status,executed,02_automatic_segmentation/reports/20260519T171956Z_maskdino-swinl-coco_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,1,True,False
maxvit-tiny-tf-224,maxvit,classify,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,05_classification/Classification_Smoke.ipynb,smoke,executed,05_classification/reports/20260519T171956Z_maxvit-tiny-tf-224_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
medsam,medsam,foundation_segment,,Apache-2.0,False,,wired,smoke_passed,smoke_passed,,unclassified,reports/core_smoke_matrix_v230.json,notebook_call,smoke,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb|07_medical/Medical_Demo.ipynb,smoke,executed,03_promptable_segmentation/reports/20260519T171956Z_medsam_current_run.json|reports/core_smoke_matrix_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
medsam2,medsam2,foundation_segment,,Apache-2.0,False,,sidecar_required,sidecar_required,sidecar_required,SIDECAR_ENV_MISSING,unclassified,,registry,blocked,True,True,1,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,sidecar_status,executed,03_promptable_segmentation/reports/20260519T171956Z_medsam2_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,1,True,False
mobilesam,mobilesam,foundation_segment,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,SIDECAR_ENV_MISSING,unclassified,,registry,blocked,True,True,1,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,sidecar_status,executed,03_promptable_segmentation/reports/20260519T171956Z_mobilesam_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,1,True,False
nnunet-v2,nnunet,segment,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,SIDECAR_ENV_MISSING,unclassified,,registry,blocked,True,True,1,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,sidecar_status,executed,02_automatic_segmentation/reports/20260519T171956Z_nnunet-v2_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,1,True,False
oneformer-convnext-large,oneformer,segment,,MIT,True,,do_not_add,wrong_registry_entry,wrong_registry_entry,WRONG_REGISTRY_ENTRY,external,reports/v238_oneformer_audit_corrected.json,correction,blocked,True,False,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,skipped_with_reason,skipped_wrong_registry_entry,,False,20260519T171956Z,False,wrong_registry_entry,,,,,,,,,current_run,True,2,False,False
oneformer-dinat-large,oneformer,segment,,MIT,True,,sidecar_required,sidecar_required,sidecar_required,NATTEN_REQUIRED,dependency,reports/v236_natten_install.json,resolution_matrix,blocked,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,02_automatic_segmentation/reports/20260519T171956Z_oneformer-dinat-large_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
