model_id,family,task,engine,license_status,default_safe,install_extra,registry_status,execution_status,final_state,blocker_code,blocker_category,evidence_artifact,evidence_source,run_mode,should_be_called_in_notebook,called_in_notebook,notebook_call_count,notebook_paths,notebook_call_types,notebook_execution_status,notebook_evidence_artifacts,output_artifact_exists,current_run_id,stale_from_previous_run,missing_from_notebook_reason,exact_exception_type,attempted_command,sidecar_name,sidecar_python_version,sidecar_torch_version,cuda_required,cuda_observed,manual_fix_command,evidence_source_kind,called_in_current_notebook_run,current_run_call_count,current_run_artifact_exists,historical_artifact_used_as_fallback
rtmdet-r-l,rtmdet,obb,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,09_aerial_obb/Aerial_OBB_Status.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,09_aerial_obb/reports/20260519T171956Z_rtmdet-r-l_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtmdet-r-m,rtmdet,obb,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,09_aerial_obb/Aerial_OBB_Status.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,09_aerial_obb/reports/20260519T171956Z_rtmdet-r-m_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtmdet-r-s,rtmdet,obb,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,09_aerial_obb/Aerial_OBB_Status.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,09_aerial_obb/reports/20260519T171956Z_rtmdet-r-s_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtmdet-r-t,rtmdet,obb,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,09_aerial_obb/Aerial_OBB_Status.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,09_aerial_obb/reports/20260519T171956Z_rtmdet-r-t_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtmdet-r2-l,rtmdet,obb,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,09_aerial_obb/Aerial_OBB_Status.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,09_aerial_obb/reports/20260519T171956Z_rtmdet-r2-l_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtmdet-r2-m,rtmdet,obb,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,09_aerial_obb/Aerial_OBB_Status.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,09_aerial_obb/reports/20260519T171956Z_rtmdet-r2-m_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtmdet-r2-s,rtmdet,obb,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,SIDECAR_ENV_MISSING,unclassified,,registry,blocked,True,True,1,09_aerial_obb/Aerial_OBB_Status.ipynb,sidecar_status,executed,09_aerial_obb/reports/20260519T171956Z_rtmdet-r2-s_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,1,True,False
rtmdet-r2-t,rtmdet,obb,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,09_aerial_obb/Aerial_OBB_Status.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,09_aerial_obb/reports/20260519T171956Z_rtmdet-r2-t_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtmpose-l,rtmpose,pose,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,11_surveillance_video_live/Surveillance_Video_Live_Demo.ipynb|12_libreyolo/LibreYOLO_Audit_and_Smoke.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,12_libreyolo/reports/20260519T171956Z_rtmpose-l_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtmpose-l-384x288,rtmpose,pose,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,11_surveillance_video_live/Surveillance_Video_Live_Demo.ipynb|12_libreyolo/LibreYOLO_Audit_and_Smoke.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,12_libreyolo/reports/20260519T171956Z_rtmpose-l-384x288_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtmpose-m,rtmpose,pose,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,11_surveillance_video_live/Surveillance_Video_Live_Demo.ipynb|12_libreyolo/LibreYOLO_Audit_and_Smoke.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,12_libreyolo/reports/20260519T171956Z_rtmpose-m_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtmpose-m-384x288,rtmpose,pose,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,11_surveillance_video_live/Surveillance_Video_Live_Demo.ipynb|12_libreyolo/LibreYOLO_Audit_and_Smoke.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,12_libreyolo/reports/20260519T171956Z_rtmpose-m-384x288_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtmpose-s,rtmpose,pose,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,SIDECAR_ENV_MISSING,unclassified,,registry,blocked,True,True,1,12_libreyolo/LibreYOLO_Audit_and_Smoke.ipynb,sidecar_status,executed,12_libreyolo/reports/20260519T171956Z_rtmpose-s_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,1,True,False
rtmpose-t,rtmpose,pose,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,11_surveillance_video_live/Surveillance_Video_Live_Demo.ipynb|12_libreyolo/LibreYOLO_Audit_and_Smoke.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,12_libreyolo/reports/20260519T171956Z_rtmpose-t_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
sam-vit-base,sam,foundation_segment,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,smoke,executed,03_promptable_segmentation/reports/20260519T171956Z_sam-vit-base_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
sam-vit-huge,sam,foundation_segment,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,smoke,executed,03_promptable_segmentation/reports/20260519T171956Z_sam-vit-huge_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
sam-vit-large,sam,foundation_segment,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,smoke,executed,03_promptable_segmentation/reports/20260519T171956Z_sam-vit-large_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
sam2-hiera-base-plus,sam2,foundation_segment,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,smoke,executed,03_promptable_segmentation/reports/20260519T171956Z_sam2-hiera-base-plus_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
sam2-hiera-large,sam2,foundation_segment,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,03_promptable_segmentation/reports/promptable_benchmark_v234.json,notebook/03_promptable_segmentation/reports/promptable_benchmark_v234.json,benchmark,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,smoke,executed,03_promptable_segmentation/reports/20260519T171956Z_sam2-hiera-large_current_run.json|03_promptable_segmentation/reports/promptable_benchmark_v234.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
sam2-hiera-small,sam2,foundation_segment,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,03_promptable_segmentation/reports/promptable_benchmark_v234.json,notebook/03_promptable_segmentation/reports/promptable_benchmark_v234.json,benchmark,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,smoke,executed,03_promptable_segmentation/reports/20260519T171956Z_sam2-hiera-small_current_run.json|03_promptable_segmentation/reports/promptable_benchmark_v234.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
sam2-hiera-tiny,sam2,foundation_segment,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,03_promptable_segmentation/reports/promptable_benchmark_v234.json,notebook/03_promptable_segmentation/reports/promptable_benchmark_v234.json,benchmark,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,smoke,executed,03_promptable_segmentation/reports/20260519T171956Z_sam2-hiera-tiny_current_run.json|03_promptable_segmentation/reports/promptable_benchmark_v234.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
sam2.1-hiera-base-plus,sam2.1,foundation_segment,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,smoke,executed,03_promptable_segmentation/reports/20260519T171956Z_sam2_1-hiera-base-plus_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
sam2.1-hiera-large,sam2.1,foundation_segment,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,03_promptable_segmentation/reports/promptable_benchmark_v234.json,notebook/03_promptable_segmentation/reports/promptable_benchmark_v234.json,benchmark,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,smoke,executed,03_promptable_segmentation/reports/20260519T171956Z_sam2_1-hiera-large_current_run.json|03_promptable_segmentation/reports/promptable_benchmark_v234.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
sam2.1-hiera-small,sam2.1,foundation_segment,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,03_promptable_segmentation/reports/promptable_benchmark_v234.json,notebook/03_promptable_segmentation/reports/promptable_benchmark_v234.json,benchmark,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,smoke,executed,03_promptable_segmentation/reports/20260519T171956Z_sam2_1-hiera-small_current_run.json|03_promptable_segmentation/reports/promptable_benchmark_v234.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
sam2.1-hiera-tiny,sam2.1,foundation_segment,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,03_promptable_segmentation/reports/promptable_benchmark_v234.json,notebook/03_promptable_segmentation/reports/promptable_benchmark_v234.json,benchmark,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb,smoke,executed,03_promptable_segmentation/reports/20260519T171956Z_sam2_1-hiera-tiny_current_run.json|03_promptable_segmentation/reports/promptable_benchmark_v234.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
sam3-base,sam3,foundation_segment,,Apache-2.0,False,,external_api,auth_required,auth_required,HF_AUTH_REQUIRED,unclassified,reports/v237_sam3_official_audit.json,resolution_matrix,blocked,True,True,2,03_promptable_segmentation/Promptable_Segmentation_Benchmark.ipynb|04_open_vocab_vlm/Open_Vocab_VLM_Demo.ipynb,auth_gate|skipped_with_reason,executed|skipped_external_auth,03_promptable_segmentation/reports/20260519T171956Z_sam3-base_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
seem-davit-d3,seem,segment,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,SIDECAR_REQUIRED,unclassified,reports/v237_seem_official_audit.json,resolution_matrix,blocked,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,02_automatic_segmentation/reports/20260519T171956Z_seem-davit-d3_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
seem-focal-t,seem,segment,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,SIDECAR_REQUIRED,unclassified,reports/v237_seem_official_audit.json,resolution_matrix,blocked,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,02_automatic_segmentation/reports/20260519T171956Z_seem-focal-t_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
siglip-base-patch16-224,siglip,embed,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/core_smoke_matrix_v230.json,notebook_call,smoke,True,True,2,06_embedding_similarity/Embedding_Similarity_Demo.ipynb,smoke,executed|executed_blocked,06_embedding_similarity/reports/20260519T171956Z_siglip-base-patch16-224_current_run.json|reports/core_smoke_matrix_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
siglip2-base-patch16-224,siglip2,embed,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,06_embedding_similarity/Embedding_Similarity_Demo.ipynb,smoke,executed,06_embedding_similarity/reports/20260519T171956Z_siglip2-base-patch16-224_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
siglip2-large-patch16-256,siglip2,embed,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,06_embedding_similarity/Embedding_Similarity_Demo.ipynb,smoke,executed,06_embedding_similarity/reports/20260519T171956Z_siglip2-large-patch16-256_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
siglip2-so400m-patch14-384,siglip2,embed,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,06_embedding_similarity/Embedding_Similarity_Demo.ipynb,smoke,executed,06_embedding_similarity/reports/20260519T171956Z_siglip2-so400m-patch14-384_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
swinv2-base,swinv2,classify,,MIT,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,05_classification/Classification_Smoke.ipynb,smoke,executed,05_classification/reports/20260519T171956Z_swinv2-base_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
swinv2-large,swinv2,classify,,MIT,True,,stub,download_failed_retryable,download_failed_retryable,DOWNLOAD_FAILED_RETRYABLE,external,reports/contract_logs/swinv2-large.stderr,resolution_matrix,blocked,True,False,0,,,,,False,20260519T171956Z,False,download_failed_retryable,,,,,,,,,registry,False,0,False,False
swinv2-small,swinv2,classify,,MIT,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,05_classification/Classification_Smoke.ipynb,smoke,executed,05_classification/reports/20260519T171956Z_swinv2-small_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
swinv2-tiny,swinv2,classify,,MIT,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,05_classification/Classification_Smoke.ipynb,smoke,executed,05_classification/reports/20260519T171956Z_swinv2-tiny_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
totalsegmentator,totalsegmentator,segment,,Apache-2.0,False,,non_core_license_optional,opt_in_license_required,opt_in_license_required,OPT_IN_LICENSE_REQUIRED,external,,registry,blocked,True,True,1,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,license_gate,executed,02_automatic_segmentation/reports/20260519T171956Z_totalsegmentator_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,1,True,False
yolo-world,yolo-world,open_vocab_detect,,check,False,,do_not_add,license_blocked,license_blocked,LICENSE_RESTRICTION_TRIGGERED,external,,registry,blocked,True,True,1,04_open_vocab_vlm/Open_Vocab_VLM_Demo.ipynb,license_gate,executed,04_open_vocab_vlm/reports/20260519T171956Z_yolo-world_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,1,True,False
yolo11l-seg.pt,ultralytics,segment,,AGPL-3.0,False,,do_not_add,benchmark_passed,benchmark_passed,,unclassified,02_automatic_segmentation/reports/segmentation_leaderboard.json,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.json,benchmark,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,smoke|status,executed_blocked,02_automatic_segmentation/reports/20260519T171956Z_yolo11l-seg_pt_current_run.json|02_automatic_segmentation/reports/segmentation_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
yolo11x-seg.pt,ultralytics,segment,,AGPL-3.0,False,,do_not_add,benchmark_passed,benchmark_passed,,unclassified,02_automatic_segmentation/reports/segmentation_leaderboard.json,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.json,benchmark,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,smoke|status,executed_blocked,02_automatic_segmentation/reports/20260519T171956Z_yolo11x-seg_pt_current_run.json|02_automatic_segmentation/reports/segmentation_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
yolo11x.pt,ultralytics,detect,,AGPL-3.0,False,,do_not_add,benchmark_passed,benchmark_passed,,unclassified,01_object_detection/reports/detection_leaderboard.json,notebook/01_object_detection/reports/detection_leaderboard.json,benchmark,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,benchmark|smoke,executed|executed_blocked,01_object_detection/reports/20260519T171956Z_yolo11x_pt_current_run.json|01_object_detection/reports/detection_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
yolo26x-seg.pt,ultralytics,segment,,AGPL-3.0,False,,do_not_add,benchmark_passed,benchmark_passed,,unclassified,02_automatic_segmentation/reports/segmentation_leaderboard.json,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.json,benchmark,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,smoke|status,executed_blocked,02_automatic_segmentation/reports/20260519T171956Z_yolo26x-seg_pt_current_run.json|02_automatic_segmentation/reports/segmentation_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
yolo26x.pt,ultralytics,detect,,AGPL-3.0,False,,do_not_add,benchmark_passed,benchmark_passed,,unclassified,01_object_detection/reports/detection_leaderboard.json,notebook/01_object_detection/reports/detection_leaderboard.json,benchmark,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,benchmark|smoke,executed|executed_blocked,01_object_detection/reports/20260519T171956Z_yolo26x_pt_current_run.json|01_object_detection/reports/detection_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
yolov10b.pt,ultralytics,detect,,AGPL-3.0,False,,do_not_add,benchmark_passed,benchmark_passed,,unclassified,01_object_detection/reports/detection_leaderboard.json,notebook/01_object_detection/reports/detection_leaderboard.json,benchmark,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,benchmark|smoke,executed|executed_blocked,01_object_detection/reports/20260519T171956Z_yolov10b_pt_current_run.json|01_object_detection/reports/detection_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
yolov8x-seg.pt,ultralytics,segment,,AGPL-3.0,False,,do_not_add,benchmark_passed,benchmark_passed,,unclassified,02_automatic_segmentation/reports/segmentation_leaderboard.json,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.json,benchmark,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,smoke|status,executed_blocked,02_automatic_segmentation/reports/20260519T171956Z_yolov8x-seg_pt_current_run.json|02_automatic_segmentation/reports/segmentation_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
yolov8x.pt,ultralytics,detect,,AGPL-3.0,False,,do_not_add,benchmark_passed,benchmark_passed,,unclassified,01_object_detection/reports/detection_leaderboard.json,notebook/01_object_detection/reports/detection_leaderboard.json,benchmark,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,benchmark|smoke,executed|executed_blocked,01_object_detection/reports/20260519T171956Z_yolov8x_pt_current_run.json|01_object_detection/reports/detection_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
