model_id,family,task,advertised,command,returncode,stdout_path,stderr_path,output_json_path,draw_path,runtime_ms,json_parseable,output_schema_valid,final_state,blocker_code,recommended_fix,missing_information,package_bug,external_blocker,license_blocker,retry_count,evidence_file
sam2-hiera-base-plus,sam2,foundation_segment,True,"/home/arash/miniconda3/bin/python -m visionservex predict sam2-hiera-base-plus /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2-hiera-base-plus.json",0,reports/smoke_logs/sam2-hiera-base-plus.stdout,reports/smoke_logs/sam2-hiera-base-plus.stderr,/tmp/vsx_smoke_sam2-hiera-base-plus.json,,4892.935249998118,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_sam2-hiera-base-plus.json
sam2-hiera-large,sam2,foundation_segment,True,"/home/arash/miniconda3/bin/python -m visionservex predict sam2-hiera-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2-hiera-large.json",0,reports/smoke_logs/sam2-hiera-large.stdout,reports/smoke_logs/sam2-hiera-large.stderr,/tmp/vsx_smoke_sam2-hiera-large.json,,5026.394246000564,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_sam2-hiera-large.json
sam2-hiera-small,sam2,foundation_segment,True,"/home/arash/miniconda3/bin/python -m visionservex predict sam2-hiera-small /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2-hiera-small.json",0,reports/smoke_logs/sam2-hiera-small.stdout,reports/smoke_logs/sam2-hiera-small.stderr,/tmp/vsx_smoke_sam2-hiera-small.json,,5137.321518996032,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_sam2-hiera-small.json
sam2-hiera-tiny,sam2,foundation_segment,True,"/home/arash/miniconda3/bin/python -m visionservex predict sam2-hiera-tiny /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2-hiera-tiny.json",0,reports/smoke_logs/sam2-hiera-tiny.stdout,reports/smoke_logs/sam2-hiera-tiny.stderr,/tmp/vsx_smoke_sam2-hiera-tiny.json,,4761.418096997659,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_sam2-hiera-tiny.json
sam2.1-hiera-base-plus,sam2.1,foundation_segment,True,"/home/arash/miniconda3/bin/python -m visionservex predict sam2.1-hiera-base-plus /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2_1-hiera-base-plus.json",0,reports/smoke_logs/sam2_1-hiera-base-plus.stdout,reports/smoke_logs/sam2_1-hiera-base-plus.stderr,/tmp/vsx_smoke_sam2_1-hiera-base-plus.json,,5003.946589000407,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_sam2_1-hiera-base-plus.json
sam2.1-hiera-large,sam2.1,foundation_segment,True,"/home/arash/miniconda3/bin/python -m visionservex predict sam2.1-hiera-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2_1-hiera-large.json",0,reports/smoke_logs/sam2_1-hiera-large.stdout,reports/smoke_logs/sam2_1-hiera-large.stderr,/tmp/vsx_smoke_sam2_1-hiera-large.json,,6485.510671991506,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_sam2_1-hiera-large.json
sam2.1-hiera-small,sam2.1,foundation_segment,True,"/home/arash/miniconda3/bin/python -m visionservex predict sam2.1-hiera-small /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2_1-hiera-small.json",0,reports/smoke_logs/sam2_1-hiera-small.stdout,reports/smoke_logs/sam2_1-hiera-small.stderr,/tmp/vsx_smoke_sam2_1-hiera-small.json,,5438.086526002735,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_sam2_1-hiera-small.json
sam2.1-hiera-tiny,sam2.1,foundation_segment,True,"/home/arash/miniconda3/bin/python -m visionservex predict sam2.1-hiera-tiny /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2_1-hiera-tiny.json",0,reports/smoke_logs/sam2_1-hiera-tiny.stdout,reports/smoke_logs/sam2_1-hiera-tiny.stderr,/tmp/vsx_smoke_sam2_1-hiera-tiny.json,,4812.917364004534,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_sam2_1-hiera-tiny.json
grounded-sam,grounded-sam,grounded_segment,True,/home/arash/miniconda3/bin/python -m visionservex predict grounded-sam /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --prompt person --json --save-json /tmp/vsx_smoke_grounded-sam.json,0,reports/smoke_logs/grounded-sam.stdout,reports/smoke_logs/grounded-sam.stderr,/tmp/vsx_smoke_grounded-sam.json,,7391.201838996494,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_grounded-sam.json
grounded-sam2,grounded-sam,grounded_segment,True,/home/arash/miniconda3/bin/python -m visionservex predict grounded-sam2 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --prompt person --json --save-json /tmp/vsx_smoke_grounded-sam2.json,0,reports/smoke_logs/grounded-sam2.stdout,reports/smoke_logs/grounded-sam2.stderr,/tmp/vsx_smoke_grounded-sam2.json,,7449.984401988331,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_grounded-sam2.json
grounding-dino-swin-b,grounding-dino,open_vocab_detect,True,"/home/arash/miniconda3/bin/python -m visionservex predict grounding-dino-swin-b /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --prompt person,car --json --save-json /tmp/vsx_smoke_grounding-dino-swin-b.json",0,reports/smoke_logs/grounding-dino-swin-b.stdout,reports/smoke_logs/grounding-dino-swin-b.stderr,/tmp/vsx_smoke_grounding-dino-swin-b.json,,7505.725919007091,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_grounding-dino-swin-b.json
grounding-dino-swin-t,grounding-dino,open_vocab_detect,True,"/home/arash/miniconda3/bin/python -m visionservex predict grounding-dino-swin-t /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --prompt person,car --json --save-json /tmp/vsx_smoke_grounding-dino-swin-t.json",0,reports/smoke_logs/grounding-dino-swin-t.stdout,reports/smoke_logs/grounding-dino-swin-t.stderr,/tmp/vsx_smoke_grounding-dino-swin-t.json,,5883.09385899629,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_grounding-dino-swin-t.json
grounding-dino-tiny,grounding-dino,open_vocab_detect,True,"/home/arash/miniconda3/bin/python -m visionservex predict grounding-dino-tiny /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --prompt person,car --json --save-json /tmp/vsx_smoke_grounding-dino-tiny.json",0,reports/smoke_logs/grounding-dino-tiny.stdout,reports/smoke_logs/grounding-dino-tiny.stderr,/tmp/vsx_smoke_grounding-dino-tiny.json,,6094.177140999818,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_grounding-dino-tiny.json
owlv2-base-patch16,owlv2,open_vocab_detect,True,"/home/arash/miniconda3/bin/python -m visionservex predict owlv2-base-patch16 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --prompt person,car --json --save-json /tmp/vsx_smoke_owlv2-base-patch16.json",0,reports/smoke_logs/owlv2-base-patch16.stdout,reports/smoke_logs/owlv2-base-patch16.stderr,/tmp/vsx_smoke_owlv2-base-patch16.json,,5351.273681997554,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_owlv2-base-patch16.json
owlv2-large-patch14,owlv2,open_vocab_detect,True,"/home/arash/miniconda3/bin/python -m visionservex predict owlv2-large-patch14 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --prompt person,car --json --save-json /tmp/vsx_smoke_owlv2-large-patch14.json",0,reports/smoke_logs/owlv2-large-patch14.stdout,reports/smoke_logs/owlv2-large-patch14.stderr,/tmp/vsx_smoke_owlv2-large-patch14.json,,8113.121084999875,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_owlv2-large-patch14.json
owlvit-base-patch32,owlvit,open_vocab_detect,True,"/home/arash/miniconda3/bin/python -m visionservex predict owlvit-base-patch32 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --prompt person,car --json --save-json /tmp/vsx_smoke_owlvit-base-patch32.json",0,reports/smoke_logs/owlvit-base-patch32.stdout,reports/smoke_logs/owlvit-base-patch32.stderr,/tmp/vsx_smoke_owlvit-base-patch32.json,,5478.165107997484,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_owlvit-base-patch32.json
owlvit-large-patch14,owlvit,open_vocab_detect,True,"/home/arash/miniconda3/bin/python -m visionservex predict owlvit-large-patch14 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --prompt person,car --json --save-json /tmp/vsx_smoke_owlvit-large-patch14.json",0,reports/smoke_logs/owlvit-large-patch14.stdout,reports/smoke_logs/owlvit-large-patch14.stderr,/tmp/vsx_smoke_owlvit-large-patch14.json,,8330.322741996497,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_owlvit-large-patch14.json
oneformer-convnext-large,oneformer,segment,True,/home/arash/miniconda3/bin/python -m visionservex predict oneformer-convnext-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_oneformer-convnext-large.json,1,reports/smoke_logs/oneformer-convnext-large.stdout,reports/smoke_logs/oneformer-convnext-large.stderr,/tmp/vsx_smoke_oneformer-convnext-large.json,,2075.7521789928433,False,False,expected_blocker,DOWNLOAD_FAILED,,,False,True,False,0,/tmp/vsx_smoke_oneformer-convnext-large.json
oneformer-dinat-large,oneformer,segment,True,/home/arash/miniconda3/bin/python -m visionservex predict oneformer-dinat-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_oneformer-dinat-large.json,1,reports/smoke_logs/oneformer-dinat-large.stdout,reports/smoke_logs/oneformer-dinat-large.stderr,/tmp/vsx_smoke_oneformer-dinat-large.json,,6137.821280004573,False,False,expected_blocker,DEPENDENCY_REQUIRED,,,False,True,False,0,/tmp/vsx_smoke_oneformer-dinat-large.json
oneformer-swin-large,oneformer,segment,True,/home/arash/miniconda3/bin/python -m visionservex predict oneformer-swin-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_oneformer-swin-large.json,0,reports/smoke_logs/oneformer-swin-large.stdout,reports/smoke_logs/oneformer-swin-large.stderr,/tmp/vsx_smoke_oneformer-swin-large.json,,6265.905387990642,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_oneformer-swin-large.json
rfdetr-seg-medium,rfdetr,segment,True,/home/arash/miniconda3/bin/python -m visionservex predict rfdetr-seg-medium /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_rfdetr-seg-medium.json,0,reports/smoke_logs/rfdetr-seg-medium.stdout,reports/smoke_logs/rfdetr-seg-medium.stderr,/tmp/vsx_smoke_rfdetr-seg-medium.json,,4485.446142993169,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_rfdetr-seg-medium.json
rfdetr-seg-nano,rfdetr,segment,True,/home/arash/miniconda3/bin/python -m visionservex predict rfdetr-seg-nano /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_rfdetr-seg-nano.json,0,reports/smoke_logs/rfdetr-seg-nano.stdout,reports/smoke_logs/rfdetr-seg-nano.stderr,/tmp/vsx_smoke_rfdetr-seg-nano.json,,4339.027142996201,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_rfdetr-seg-nano.json
rfdetr-seg-small,rfdetr,segment,True,/home/arash/miniconda3/bin/python -m visionservex predict rfdetr-seg-small /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_rfdetr-seg-small.json,0,reports/smoke_logs/rfdetr-seg-small.stdout,reports/smoke_logs/rfdetr-seg-small.stderr,/tmp/vsx_smoke_rfdetr-seg-small.json,,4378.220448998036,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_rfdetr-seg-small.json
florence-2-base,florence-2,vlm,True,/home/arash/miniconda3/bin/python -m visionservex predict florence-2-base /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_florence-2-base.json,1,reports/smoke_logs/florence-2-base.stdout,reports/smoke_logs/florence-2-base.stderr,/tmp/vsx_smoke_florence-2-base.json,,1899.6652570058359,False,False,expected_blocker,DEPENDENCY_REQUIRED,,,False,True,False,0,/tmp/vsx_smoke_florence-2-base.json
florence-2-large,florence-2,vlm,True,/home/arash/miniconda3/bin/python -m visionservex predict florence-2-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_florence-2-large.json,1,reports/smoke_logs/florence-2-large.stdout,reports/smoke_logs/florence-2-large.stderr,/tmp/vsx_smoke_florence-2-large.json,,1880.0083200039808,False,False,expected_blocker,DEPENDENCY_REQUIRED,,,False,True,False,0,/tmp/vsx_smoke_florence-2-large.json
