hf_model_id,family,task,weight_filename,weight_size_bytes,license,license_source,auto_pull_allowed,default_safe,blocker_code,downloads,last_modified
LibreYOLO/LibreDEIMl,unknown,detection,LibreDEIMl.pt,126085103,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-30 20:47:10+00:00
LibreYOLO/LibreDEIMx,unknown,detection,LibreDEIMx.pt,252170091,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-30 20:51:31+00:00
LibreYOLO/LibreDEIMv2n,unknown,detection,LibreDEIMv2n.pt,14741908,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-01 17:13:28+00:00
LibreYOLO/LibreDEIMv2s,unknown,detection,LibreDEIMv2s.pt,39569146,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-01 17:13:36+00:00
LibreYOLO/LibreDEIMv2m,unknown,detection,LibreDEIMv2m.pt,73955674,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-01 17:13:44+00:00
LibreYOLO/LibreDEIMv2l,unknown,detection,LibreDEIMv2l.pt,130812306,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-01 17:13:54+00:00
LibreYOLO/LibreDEIMv2x,unknown,detection,LibreDEIMv2x.pt,205576558,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-01 17:14:07+00:00
LibreYOLO/LibreECs-pose,unknown,detection,LibreECs-pose.pt,40293475,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:24:59+00:00
LibreYOLO/LibreECm-pose,unknown,detection,LibreECm-pose.pt,80308219,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:25:40+00:00
LibreYOLO/LibreECl-pose,unknown,detection,LibreECl-pose.pt,138702891,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:25:49+00:00
LibreYOLO/LibreECx-pose,unknown,detection,LibreECx-pose.pt,206655595,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:25:56+00:00
LibreYOLO/LibreECs-seg,unknown,instance_segmentation,LibreECs-seg.pt,42064273,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:26:02+00:00
LibreYOLO/LibreECm-seg,unknown,instance_segmentation,LibreECm-seg.pt,81910801,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:26:09+00:00
LibreYOLO/LibreECl-seg,unknown,instance_segmentation,LibreECl-seg.pt,136102869,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:26:17+00:00
LibreYOLO/LibreECx-seg,unknown,instance_segmentation,LibreECx-seg.pt,204055573,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:26:23+00:00
LibreYOLO/LibreECs,unknown,detection,LibreECs.pt,39938540,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:38:47+00:00
